English,Gloss_Translation
Any complaints that the Council considers are directly in relation to street lighting will be initially referred to Eon,STREET LIGHT PROBLEM OR COMPLAIN COUNCIL NOT RESPONSIBLE. REFER WHO FS:EON
"Under the requirements of the contract between Eon and Staffordshire County Council, Eon are required to respond initially to complaints about the service they have provided",BOTH FS:EON AND STAFFORSHIRE COUNTY COUNCIL DIFFERENT HOW COMPLAINT FS:EON SERVICE THEY RESPOND WILL FS:STAFFORDSHIRE NOT RESPONSIBLE
"This is because they complete the necessary preliminary works, design and delivery",FS:EON SERVICE WHAT WORK DESIGN REPAIR DELIVER FINISH
In the event that a response has been issued by Eon and the complainant remains dissatisfied then they refer their concerns to the Council,PLACE FS:EON SERVICE RESPONSE COMPLAINT STILL NOT SATIFISIED CONTACT COUNCIL CAN
The Council will then escalate the complaint to Stage 2 and carry out a review of the complaint investigation and response provided by Eon,COMPLAINT COUNCIL RAISE STAGE TWO LOOK FS:EON RESPONSE INVESTIGATE WHY COMPLAINT NOT HAPPY REVIEW
The citizen will be expected to exercise their right to object in respect of any planning or development control matters that are the responsibility of the Council,PERSON RIGHT EXPECT ANY PLAN DEVELOPMENT OBJECT PLACE COUNCIL RESPONSIBLE NMF:CONTROL
Complaints about certain functions under childrenís social services are covered by The Children Act 1989 Representations Procedure (England) Regulations 2006,CHILDREN SOCIAL SERVICES FUNCTION EVENT COMPLAINT HOW THROUGH CHILDREN ACT ONE NINE EIGHT NINE PROCEDURE ENGLAND REGULATIONS WHEN TWO ZERO ZERO SIX
Further details about this procedure will be provided if a complaint has been assessed to meet the criteria for investigation under this process,PROCEDURE MORE DETAIL SEE IF COMPLAINT CRITERIA INVESTIGATE PROCESS MATCH
Complaints about adult social care fall under The Local Authority Social Services and National Health Service Complaints (England) Regulations 2009,ADULT SOCIAL CARE COMPLAINT. THEY UNDER AUTHORITY LOCAL SOCIAL SERVICES ALSO NATIONAL HEALTH SERVICE ENGLAND REGULATIONS TWO ZERO ZERO NINE
Further details about this procedure will be provided if a complaint has been assessed to meet the criteria for investigation under this process,PROCEDURE MORE DETAIL SEE IF COMPLAINT CRITERIA INVESTIGATE MATCH
There is an appeal process to address applications that have been refused however concerns about the application process may be considered under the Corporate Complaints Procedure,"APPEAL PROCESS NMF:ADDRESS REFUSE, CONCERN APPLY PROCESS PLACE-POINT-RIGHT CORPORATE PROCEDURE COMPLAINT CONSIDER POSSIBLE"
All schools are responsible for having their own complaints procedure in place and any concerns must be directed to the Head Teacher or Governing Body,"SCHOOL COMPLAINT PROCEDURE MUST HAVE OWN, CONCERN MUST DIRECT HEAD TEACHER ALSO GOVERN BOARD-PEOPLE"
Details can be found on the schoolís website,WEBSITE SCHOOL DETAIL FIND CAN
An appeals process is available for parents who are dissatisfied with the school place offered to their child,PARENTS NOT HAPPY NOT SATISFIED WHY COUNCIL PLACE-POINT-RIGHT SCHOOL OFFER APPEAL CAN
There is no automatic right of appeal in respect of the issue of the issue of Penalty Notices however representation can be made to the Councilís County Manager for Education,APPEAL RIGHT AUTOMATIC NO PENALTY NOTICE. ISSUE PLACE-POINT-RIGHT COUNCIL COUNTY MANAGER EDUCATION MAKE CAN
"If a complaint is about the refusal to provide a pupil with assisted transport, the parent has the right to access the appeals procedure",COMPLAINT PLACE-POINT-RIGHT SCHOOL REFUSE PUPIL PROVIDE TRANSPORT ASSIST. PARENTS HAVE RIGHT APPEAL PROCEDURE ACCESS
An appeals process is available should the motorist wish to challenge the issue of the PCN,APPEAL PROCESS AVAILABLE IF DRIVER PERSON ISSUE CHALLENGE PLACE-POINT-RIGHT FS:PCN POSSIBLE
These will need to be reported to the claims pages,PAGE CLAIM REPORT NEED
Complaints about the outcome of a claim will not be addressed by the Council,CLAIM COMPLAINT WANT TO KNOW OUTCOME WHAT PLACE-POINT-RIGHT COUNCIL NMF:ADDRESS CANNOT
This is because matters regarding liability are addressed by a specific claims process and there is an alternative route available to you if you are unhappy with the decision,CLAIM SPECIFIC PROCESS NMF:ADDRESS LIABILITY MATTER ROUTE ALTERNATIVE AVAILABLE IF THEIR DECISION YOU NOT HAPPY
Information on what action you can take with regards to this is set out on our highways claims webpage,HIGHWAY CLAIM WEB PAGE THERE INFORMATION HAVE YOU TYPE CAN
You will be provided with information on the next steps available when the outcome of the claim is determined and communicated to you,"CLAIM YOUR OUTCOME THEY COMMUNICATE DETERMINE WANT COMMUNICATE YOU, HOW NEXT STEP INFORMATION THEY PROVIDE YOU WILL"
Highways,HIGHWAY
Complaints about the length of time taken for the Council to provide information to the third-party insurers may be considered and these complaints will be assessed on an individual basis,COMPLAINT THIS-TIME-SPAN LONG TIME PLACE-POINT-RIGHT COUNCIL INFORMATION GIVE PLACE-POINT-LEFT COMPANY INSURANCE THEY CONSIDE INDIVIDUAL ASSESS POSSIBLE
Complaints about the handling of claims that are still within the 90-day timescale will not be accepted under the Corporate Complaints Procedure,CLAIM YOUR THIS-TIME-SPAN NINETY DAY IF NOT YET NINETY DAY PLACE-POINT-RIGHT CORPORATE COMPLAINT PROCEDURE NOT ACCEPT
Complaints about the conduct of councillors must be referred to the Councilís Monitoring Officer,COMPLAINT COUNCIL PERSON NMF:CONTROL REFER MONITOR OFFICER
"Decisions with regards to council policy, expenditure or future plans and infrastructure schemes are taken by full council, the cabinet or various formal committees made up of elected councillors",COUNCIL POLICY EXPENDITURE FUTURE PLAN INFRASTRUCTURE SCHEME DECIDE WHO? FULL COUNCIL CABINET VARIOUS FORMAL COMMITTEE COUNCIL PERSON ELECT ALSO
Citizens cannot use the Corporate Complaints Procedure to make a complaint about a decision reached by elected councillors following proper procedures,COMPLAINT PERSON CANNOT USE PLACE-POINT-RIGHT CORPORATE COMPLAINT PROCEDURE NOT ALLOW PERSON DECIDE COUNCIL PERSON ELECT FOLLOW PROCEDURE PROPER
Any concerns would need to be addressed directly to the Cabinet Office,CONCERN NEED NMF:ADDRESS PLACE-POINT-RIGHT CABINET OFFICE DIRECT
The claimant will be directed to the Councilís Insurance Services,CLAIMANT COUNCIL DIRECT WHERE INSURANCE SERVICE WILL
"Complaints from current or ex-employees of the Council that are about personnel and/or employment issues such as dismissals, pay or discipline will be directed to the Councilís HR department",CURRENT OR EX EMPLOYEE WHERE COUNCIL COMPLAINT ABOUT PERSONAL EMPLOYMENT ISSUE LIKE DISMISS PAY DISCIPLINE THEY MUST HR DEPARTMENT DIRECT
"The County Council cannot investigate the service provision, actions or decisions made by local borough or district councils",PLACE-POINT-RIGHT COUNTY COUNCIL INVESTIGATE PLACE-POINT-LEFT COUNCIL LOCAL BOROUGH DISTRICT PROVISION ACTION DECISION CANNOT
"Responsibility is held by these organisations in respect of bin collections, council tax and the majority of planning issues","ORGANISATION RESPONSIBILITY WHAT BIN COLLECTION, COUNCIL TAX, ALSO MAJORITY PLAN ISSUE THEY RESPECT"
Street lighting,STREET LIGHTSX3
Planning,PLAN
Childrenís Social Services,CHILDREN SOCIAL SERVICES
"A request for a service or to ask us to do something - this can be about a wide range of highways related issues including potholes, overgrown hedges, traffic issues, requests for gritting and drainage problems","REQUEST SERVICE WHICH ASK-US DO-SOMETHING - THIS CAN-BE WIDE RANGE HIGHWAY ISSUE INCLUDE POTHOLE, HEDGE OVERGROWN, TRAFFIC ISSUE, REQUEST GRITTING ALSO DRAINAGE PROBLEM"
Report It lists all available subjects that you can contact the council about,SUBJECT AVAILABLE LIST COUNCIL CONTACT
An update on an existing matter that has been reported but has not been dealt with and are within timescales,TIME THIS-TIME-SPAN UPDATE MATTER BEEN REPORT DEAL NOT YET
Adults Social Services,SOCIAL SERVICE ADULT SUPPORT
Updates to an existing report in that the condition or situation has deteriorated,REPORT EXIST UPDATE CONDITION SITUATION WORSE HAVE
Defects that have been identified as non-urgent but not yet repaired,DEFECT IDENTIFY NON-URGENT REPAIR HAPPEN NOT-YET
Concerns about the quality of SCC highways works that have been carried out,QUALITY CONCERN FS:SCC HIGHWAY WORK RESOLVE
A report will need to be made in order that an inspector can visit the location and assess,REPORT MAKE NEED WHERE LOCATION INSPECTOR VISIT-LEFT ASSESS CAN
The outcome of a highways inspection based on disagreement only and where no evidence has been provided to indicate that the inspection has not been carried out properly,HIGHWAY INSPECTION OUTCOME DISAGREE ALSO EVIDENCE NONE INSPECTION SHOW NOT PROPER
Staffordshire County Council offers free period products,MENSTRUAL PRODUCT FREE STAFFORDSHIRE COUNTY COUNCIL OFFER
"County's pothole focus sees more than 11,000 fixed in three months",THREE MONTH TIME COUNTY POTHOLE COUNCIL FOCUS MORE THAN ELEVEN THOUSAND FIX
Crews work to deal with summer storm,SUMMER STORM CREW WORK COPE-WITH
"We endeavour to meet our statutory duties in how we handle information, publish information, and provide information in response to access to information requests",WE AIM NMF:CONTROL INFORMATION OUR LAW DUTY MATCH WHAT INFORMATION PUBLISH PROVIDE REQUEST ACCESS RESPONSE
If you consider we have not met these requirements the same laws and regulations give you the right to make a complaint,COMPLAINT RIGHT IF YOU CONSIDER THEY LAW REGULATION REQUIRE NOT SAME YOU COMPLAIN SEND CAN
If you are unhappy about how we have dealt with your request for recorded information you should first send your comment or complaint to us in writing,IF YOU NOT HAPPY HOW WE NMF:CONTROL INFORMATION REQUEST HOW DEAL FIRST COMPLAINT SEND
Send your comments or complaint to:,YOUR COMMENT COMPLAINT SEND
Access to Information Team 1 Staffordshire Place Stafford ST16 2DH,ADDRESS INFORMATION ACCESS TEAM ONE FS:STAFFORDSHIRE PLACE STAFFORD ST ONE SIX TWO FS:DH
When we receive your complaint we will review how we have dealt with your request,YOUR COMPLAINT RECEIVE WE REVIEW-BACK HOW YOUR REQUEST WE BEEN NMF:CONTROL
The Information Commissionerís Office recommends that public authorities carry out internal reviews within 20 working days,PLACE-POINT-RIGHT OFFICE INFORMATION PERSON COMMISSION RECOMMEND PLACE-POINT-LEFT PEOPLE PUBLIC AUTHORITY THEY MUST WORK WITHIN TWO ZERO WORK DAY INTERNAL REVIEW-BACK
Under Environmental Regulations Information there is a legal requirement that internal reviews must be carried out as soon as possible within 40 working days,PLACE-POINT-RIGHT ENVIRONMENT REGULATION INFORMATION THERE MUST FORTY WORK DAY WITHIN SOON POSSIBLE REVIEW INTERNAL LEGAL REQUIRE
The authority cannot charge for carrying out an internal review,INTERNAL REVIEW-BACK AUTHORITY CHARGE CANNOT
If after we have conducted an internal review you believe that we have not dealt with your request or your complaint properly the Information Commissionerís Office may be able to help,INTERNAL REVIEW-BACK CONDUCT AFTER BELIEVE YOU NOT DEAL REQUEST COMPLAINT PROPERLY THERE OFFICE INFORMATION PERSON COMMISSION HELP POSSIBLE
Advice about making complaints about how your request has been dealt with is available from the Information Commissionerís Office,ADVICE COMPLAINT HOW YOUR REQUEST DEAL WITH AVAILABLE WHERE PLACE-POINT-RIGHT OFFICE INFORMATION PERSON COMMISSION
"If your complaint is not about how we have responded to your request for non-personal council information, please refer to separate information about making comments and complaints about:",YOUR COMPLAINT NOT RESPONSE OUR GIVE NO PERSONAL COUNCIL INFORMATION. OTHER INFORMATION PLEASE REFER COMMENTS COMPLAINT ABOUT
How to make a complaint,COMPLAINT NMF:CLAIM HOW
Latest council news,COUNCIL NEWS LATEST
Your council and democracy,COUNCIL YOUR ALSO DEMOCRACY
Request and access information,INFORMATION REQUEST ALSO ACCESS
Council information,COUNCIL INFORMATION
What we will do,FUTURE WE DO WHAT
Information we hold,INFORMATION WE KEEP
Online-Application,APPLICATION ONLINE
Our performance,OUR PERFORMANCE
Request council information,INFORMATION COUNCIL REQUEST
Email: accessinformation@staffordshire,EMAIL ACCESS INFORMATION  FS:STAFFORDSHIRE
gov,GOVERNMENT
uk,UK
By post:,POST HOW METHOD
How requests for personal information or how the council has handled personal information,PERSONAL INFORMATION REQUEST HOW PLACE-POINT-RIGHT COUNCIL PERSONAL INFORMATION HANDLE
"Council members, staff and services",COUNCIL MEMBER PEOPLE ALSO STAFF AND SERVICE MANY
Other types of complaint,COMPLAINT TYPES OTHER
Works on key Norton Canes junction now complete,JUNCTION REPAIR WHERE PLACE-POINT-RIGHT FS:NORTON FS:CANES KEY COMPLETE NOW
"If you are unhappy about the way a Member of the County Council has behaved, you may complain to John Tradewell who is our Monitoring Officer",IF YOU NOT HAPPY THERE PERSON COUNTY COUNCIL MEMBER BEHAVIOUR PERSON FS:JOHN FS:TRADEWELL HE OFFICER MONITOR-PERSON YOU COMPLAIN HIM CAN
Complaints can be submitted in writing to:,COMPLAINT WRITE SEND CAN
You can also download and complete our complaints form in either PDF or Word format,COMPLAINT FORM DOWNLOAD YOU CAN CONFIGURE PDF OR FS:WORD EITHER TYPE SEND
This can then be submitted to the Monitoring Officer as either an attachment to your email or included with your complaint letter,MONITOR-PERSON OFFICER YOUR EMAIL ATTACHMENT COMPLAINT LETTER INCLUDE SUBMIT CAN
You complaint should include all of the points:,YOUR COMPLAINT INCLUDE POINT ALL-UP-DOWN SHOULD
"Please note: If you make a complaint, you should be aware that we are unlikely to be able to keep your identity confidential",PLEASE AWARE COMPLAINT YOUR IDENTITY CONFIDENTIAL WE CANNOT PROMISE KEEP CONFIDENTIAL
"Staffordshire County Council would not normally allow anonymous complaints as that would be against the principles of transparency and fairness, and would make matters much more difficult to investigate",STAFFORDSHIRE COUNTY COUNCIL PERSON COMPLAINT ANONYMOUS NORMALLY NOT ALLOW. RULE DECISION FAIR AGAINST ALSO INVESTIGATE DIFFICULT MAKE.
"However, there may be exceptional compelling reasons why an anonymous complaint could be accepted without detriment to the process and where the allegation can be evidenced without reference to the complainant",WHY WE ACCEPT ANONYMOUS COMPLAINT IF STRONG REASON PROCESS NO HARM. IF CLAIM HAVE EVIDENCE SUPPORT NOT WITH COMPLAINT
"As such, the merit of any anonymous complaint received will be considered by the Monitoring Officer before it is entered into the complaints process",PERSON ANONYMOUS COMPLAINT RECEIVE MONITOR-PERSON OFFICER CONSIDER BEFORE COMPLAINT PROCESS CAN
How we will deal with your complaint,YOUR COMPLAINT WE NMF:CONTROL HOW
"If you would like to discuss this before making a complaint, please contact our Monitoring Officer, John Tradewell, Deputy Chief Executive and Director for Corporate Services","DISCUSS WANT BEFORE COMPLAINT YOU, PLEASE CONTACT MONITOR-PERSON OFFICER PERSON FS:JOHN FS:TRADEWELL, DEPUTY CHIEF EXECUTIVE ALSO DIRECTOR CORPORATE SERVICES"
You can fill out our online claim form which will be directed to the relevant department for you,ONLINE CLAIM FORM YOU FILL-IN DIRECT DEPARTMENT RELEVANT CAN
You can submit a complaint in writing to the address below,COMPLAINT WRITE SEND ADDRESS BELOW
Members,MEMBER
Privacy notices,NMF:NOTICE PRIVACY
Councillors by division,COUNCIL MEMBER PEOPLE DIVISION
County Councillors Fund,COUNCIL PEOPLE FUND
Members allowances,ALLOWANCE MEMBER PEOPLE
Find a county councillor,COUNTY COUNCIL PERSON FIND WHERE
Members overview,MEMBER PEOPLE OVERVIEW
Make a complaint via email,COMPLAINT EMAIL SEND
Members' Code of Conduct,MEMBER PEOPLE RULE CONDUCT
Register of gifts and hospitality,GIFT ALSO HOSPITALITY LIST REGISTER
Complaints form (92 kb),FORM COMPLAINT NINETY TWO FS:KB
Complaints form (46 kb),FORM COMPLAINT FOURTY SIX FS:KB
Details of who you are and how to contact you,DETAIL WHO YOU HOW CONTACT YOU
The name of the County Councillor(s) you are complaining about,COMPLAINT WHO COUNTY COUNCIL PERSON OR PEOPLE NAME SEND
Details of what your complaint is about,COMPLAINT DETAIL WHAT ABOUT
"Details of any supporting documents or evidence, with copies provided if available",DOCUMENT SUPPORT EVIDENCE HAVE COPY AVAILABLE DETAIL PROVIDE POSSIBLE
Make a complaint in writing,COMPLAINT WRITE PLEASE
What your complaint should include,COMPLAINT YOUR INCLUDE SHOULD WHAT
Anonymous Complaints,COMPLAINT ANONYMOUS
"Before you submit a complaint, please make sure that you read the information contained on the make a general complaint , make a complaint about social care , types of complaint we cannot look at and tips on how to make a complaint","BEFORE COMPLAINT SEND-US, PLEASE MAKE-SURE INFORMATION READ COMPLAINT GENERAL, COMPLAINT SOCIAL CARE, COMPLAINT TYPES LOOK CANNOT, ALSO ADVISE HOW COMPLAINT MAKE."
"You can also send an email and attach additional information to support your complaint such as photographs or documents, to the following email address:",EMAIL SEND YOU CAN ALSO ADDITIONAL INFORMATION SUPPORT YOUR COMPLAINT PHOTO DOCUMENT ATTACH EMAIL FOLLOW UP
complaintsandcustomerfeedback@staffordshire,FEEDBACK CUSTOMER COMPLAINT STAFFORDSHIRE CONTACT POINT-BOTTOM-MIDDLE EMAIL
gov,GOVERNMENT
uk,UK
"If you are unable to use our online complaint form or email facility, you can contact us by telephone","ONLINE COMPLAINT FORM EMAIL USE NOT POSSIBLE, TELEPHONE CONTACT CAN"
"This is normally available Monday to Friday, between 10am and 2pm",MONDAY TO-SIDEWAYS FRIDAY TIME START MORNING TEN TO-SIDEWAYS AFTERNOON TWO AVAILABLE NORMALLY
An answer machine facility is available out of hours or on occasions where it is necessary to close the telephone line during office hours,"TIME HOURS AFTER OR HOURS OFFICE WHEN NECESSARY TELEPHONE LINE CLOSE, BUT ANSWER MACHINE AVAILABLE"
0300 111 8004 (Adults and Childrenís Social Care complaints),SOCIAL CARE COMPLAINT ADULT ALSO CHILD NUMBER WHAT ZERO THREE ZERO ZERO ONE ONE ONE EIGHT ZERO ZERO FOUR
0300 111 8000 for other matters,OTHER MATTER PHONE NUMBER WHAT ZERO THREE ZERO ZERO ONE ONE ONE EIGHT ZERO ZERO ZERO
Mini-com users: 01785 276207,MINI-COM USER ZERO ONE SEVEN EIGHT FIVE TWO SEVEN SIX TWO ZERO SEVEN
You can also write to us at:,WRITE US POINT-BOTTOM-MIDDLE
Apply,APPLY
"Births, ceremonies and deaths",BIRTH CEREMONY DEATH
Business,BUSINESS
Our services,OUR SERVICES
Children and early years,CHILD ALSO EARLY YEAR BABY
Community,COMMUNITY
Education and learning,EDUCATION ALSO LEARNING
Environment,ENVIRONMENT
"Health, wellbeing and leisure",HEALTH WELLBEING ALSO LEISURE
Heritage and archives,HERITAGE FOLDER*ARCHIVE
Jobs and careers,JOB ALSO CAREER
Libraries and arts,LIBRARY ALSO ART
Roads and highways,ROAD ALSO HIGHWAY
Report,REPORT
Staffordshire Observatory,FS:STAFFORDSHIRE OBSERVATORY
Staffordshire Warmer Homes,FS:STAFFORDSHIRE HOME WARMER
Transport,TRANSPORT
Waste and recycling,WASTE ALSO RECYCLING
Concern about a child,CHILD POINT-RIGHT CONCERN
Concern about abuse of an adult,ADULT ABUSE POINT-RIGHT CONCERN
Trading Standards Report It,TRADE STANDARDS REPORT FS:IT
Extremist material,MATERIAL EXTREMIST
Fly-tipping,DUMP ILLEGAL
"Fraud, bribery and theft",FRAUD BRIBERY ALSO THEFT
Highways issue,HIGHWAY PROBLEM
Parking problem,PARK PROBLEM
Rights of way issue,WAY RIGHT ISSUE
Stoke business 'very impressed' with cost-saving measures suggested by Green Solutions,FS:STOKE BUSINESS NMF:VERY IMPRESSED PLACE-POINT-RIGHT GREEN SOLUTIONS COST SAVING MEASURES SUGGEST
Trading Standards is a local authority regulatory service,TRADE STANDARDS LOCAL AUTHORITY SERVICE CONTROL
Please use this form for submitting information relating to the following matters only:,FORM THIS USE PLEASE. SUBMIT-ME INFORMATION RELATE MATTER ONLY.
Trading Standards Privacy Notice / Fair Processing Notice (Including Financial Investigations and Digital Forensics),STANDARDS TRADE ALSO PRIVATE NOTICE. PROCESS FAIR NOTICE INCLUDE INVESTIGATE FINANCE ALSO DIGITAL FORENSIC
"This is a confidential form for reporting purposes only, in relation to the above matters, Staffordshire County Council will not reply to you",FORM CONFIDENTIAL REPORT PURPOSE ONLY LINK MATTER PLACE-POINT-RIGHT FS:STAFFORDSHIRE COUNTY COUNCIL NOT REPLY YOU
Latest business news,BUSINESS NEWS LATEST
Trading Standards Report It,TRADE STANDARDS REPORT FS:IT
Trading standards,TRADE STANDARDS
About us,ABOUT US WHAT
Animal health,ANIMAL HEALTH
Community intervention,COMMUNITY INTERVENTION
Fees,FEE
Licensing and registration,LICENCE ALSO REGISTER
Safety of sports grounds,SPORTS GROUNDS SAFETY
Trading Standards in the news,TRADE STANDARDS NEWS
Privacy & Disclaimer Statements,STATEMENTS PRIVACY ALSO DISCLAIMER
Trading Standards Privacy Notice / Fair Processing Notice,TRADE STANDARDS NOTICE PROCESS PRIVACY FAIR NOTICE
Sale of counterfeit or illegally imported tobacco and cigarettes,COUNTERFEIT TOBACCO SMOKE-CIGARETTE ALSO ILLEGAL IMPORT SELL
Supplying unsafe and/or counterfeit goods,GOODS NOT SAFE COUNTERFEIT SUPPLY
Supplying counterfeit goods,GOODS COUNTERFEIT SUPPLY
Food Standards / Allergens / Labelling,FOOD STANDARD. ALLERGEN IDENTIFY ALSO LABEL
Exploitation of vulnerable residents,RESIDENTS VULNERABLE EXPLOITATION
Supplying age restricted products to children,PRODUCT AGE RESTRICT CHILDREN SUPPLY
Rural Animal Welfare,RURAL ANIMAL WELFARE
"Community groups share more than £17,000 funding for eco projects",FS:ECO PROJECT PLACE-POINT-RIGHT COMMUNITY GROUPS FUND SEVENTEEN THOUSAND POUND SHARE
"We only deal with fly-tipping if it is causing a problem on the roads, in this instance you should report this on our Report It system",RUBBISH DUMP PROBLEM WE ONLY DEAL IF ROAD PROBLEM. YOU MUST REPORT FS:IT SUBMIT
The local borough or district council for the area and the Environment Agency are responsible for dealing with fly-tipping on public land:,PUBLIC LAND FLY-TIPPING DEAL RESPONSIBLE LOCAL BOROUGH DISTRICT COUNCIL ALSO ENVIRONMENT AGENCY
Latest environment news,ENVIRONMENT LATEST NEWS
Van permit system,VAN PERMIT SYSTEM
Fly-tipping,RUBBISH DUMP
Waste and recycling in Staffordshire,WASTE RECYCLE FS:STAFFORDSHIRE
Bin collections (kerbside waste),WASTE KERBSIDE BIN COLLECTION
Bulky waste collection,WASTE BULKY COLLECTION
Charges and restrictions,CHARGE ALSO RESTRICTION
Home composting,HOME COMPOST
Recycling centres (tips),PLACE-POINT-RIGHT RECYCLE CENTRE TIPS
Recycling credits,RECYCLE CREDIT
Reuse,REUSE
Trade waste disposal scheme,TRADE WASTE DISPOSAL SCHEME
Types of waste,WASTE TYPES
Waste explained,WASTE EXPLAIN
Waste strategy,WASTE STRATEGY
Waste Savvy Staffs,WASTE STAFF FS:SAVVY
Cannock Chase District Council,FS:CANNOCK FS:CHASE COUNCIL DISTRICT
East Staffordshire Borough Council,FS:EAST EAST FS:STAFFORDSHIRE COUNCIL BOROUGH
Lichfield District Council,FS:LICHFIELD COUNCIL DISTRICT
Newcastle Borough Council,NEWCASTLE COUNCIL BOROUGH
South Staffordshire Council,SOUTH FS:STAFFORDSHIRE COUNCIL
Stafford Borough Council,STAFFORD COUNCIL BOROUGH
Council to visit eligible streets to offer funded heating solutions for homes,STREETS ELIGIBLE COUNCIL VISIT HOMES FUND HEAT SOLUTION OFFER
Staffordshire Moorlands District Council,FS:STAFFORDSHIRE FS:MOORLANDS COUNCIL DISTRICT
Tamworth Borough Council,TAMWORTH COUNCIL BOROUGH
Council strives to create a zero-waste county,ZERO WASTE PLACE-POINT-RIGHT COUNTY COUNCIL STRIVE
Temporary closure of Lichfield household waste recycling centre for resurfacing work,TIMELINE RESURFACE WORK TEMPORARY CLOSE WHERE FS:LICHFIELD PLACE-POINT-RIGHT CENTRE HOUSEHOLD WASTE RECYCLE
Online reporting form,ONLINE FORM REPORT
"Contact the County Treasurer, via the (Interim) Chief Internal Auditor and Money Laundering Reporting Officer",PERSON COUNTY NMF:MONEY PERSON FS:INTERM CHIEF INTERNAL AUDIT ALSO MONEY LAUNDER REPORT OFFICER CONTACT THEM
Contact the Audit Manager - Fraud (Deputy Money Laundering Reporting Officer),PERSON AUDIT MANAGER WHAT FRAUD OR PERSON DEPUTY MONEY LAUNDER REPORT OFFICER CONTACT
"Fraud, bribery and theft policy",FRAUD BRIBERY ALSO THEFT POLICY
"Elected members, suppliers, contractors, partners, joint ventures and the general public are encouraged to report concerns through any of the routes identified below",ELECT MEMBER SUPPLY CONTRACTOR PARTNER JOINT VENTURE GENERAL PUBLIC ENCOURAGE CONCERN ROUTE REPORT
Concerns relating to council tax or housing benefits and social housing should be reported to the relevant district/borough Council,CONCERN COUNCIL TAX OR HOUSING BENEFIT OR SOCIAL HOUSING COUNCIL DISTRICT BOROUGH REPORT
Your borough council can be identified using the tool here:,YOUR COUNCIL BOROUGH IDENTIFY TOOL HERE
Find your local council - GOV,LOCAL COUNCIL FIND GOV
UK,UK
Contact details for disctrict and borough Councils in Staffordshire can be found on our Other Local Authorities page,FS:STAFFORDSHIRE COUNCIL DISTRICT BOROUGH CONTACT DETAIL. OTHER LOCAL AUTHORITY PAGE FIND
An individual wishing to report a concern relating to fraud or bribery may wish to stay anonymous,FRAUD BRIBERY CONCERN PERSON WISH INDIVIDUAL ANONYMOUS STAY REPORT
"Whilst concerns raised anonymously will be considered and assessed, it is often vital to speak to you to obtain additional information once an investigation has started",ANONYMOUS CONCERN RAISE CONSIDER ASSESS ALSO IMPORTANT TALK YOU GET MORE INFORMATION INVESTIGATE START
Therefore we request that you provide your contact details wherever possible,CONTACT DETAIL YOU PROVIDE*US
Please do not carry out any additional investigation once a concern of fraud is identified,FRAUD IDENTIFY CONCERN INVESTIGATE ADDITIONAL NO CARRY-ONX2
Failure to follow appropriate investigative procedures may result in valuable evidence becoming unusable in pursuit of criminal sanctions,EVIDENCE VALUABLE INVESTIGATE PROCEDURE FOLLOW FAILURE CRIMINAL SANCTION PURSUE NOT WORK
"If you wish to raise a concern, consider reading our whistleblowing policy, available on the Staff Intranet",CONCERN RAISE WANT YOU CONSIDER READ POLICY WHISTLEBLOW WHERE THERE STAFF INTRANET AVAILABLE
"Concerns of fraud, bribery and corruption can be reported by using the methods detailed below",FRAUD BRIBERY CORRUPTION CONCERN THERE METHODS BELOW REPORT CAN
You can complete the fraud reporting form,FORM FRAUD REPORT COMPLETE TYPE OR WRITE YOU CAN
Deborah Harris,FS:DEBORAH FS:HARRIS
David Fletcher,FS:DAVID FS:FLETCHER
How to report a fraud concern,FRAUD CONCERN REPORT HOW
"Please note: both the fraud reporting form, or the integrity hotline can be used to raise concerns without disclosing your own identity",CONCERN RAISE BOTH POINT-LEFT FORM FRAUD REPORT OR POINT-RIGHT INTEGRITY HOTLINE CAN USE YOUR IDENTITY NO DISCLOSE
"The county councilís fraud, bribery and corruption policy was approved in July 2019 and outlines the Councilís anti-fraud stance and approach to tackling fraud, bribery and theft",COUNTY COUNCIL POLICY FRAUD BRIBERY CORRUPTION APPROVE WHEN JULY TWO ZERO ONE NINE ALSO COUNCIL OUTLINE HOW TACKLE FRAUD BRIBERY THEFT
What happens after the fraud is reported?,FRAUD REPORT HAPPEN WHAT AFTER
"Our approach to tackling fraud, bribery and theft",FRAUD BRIBERY THEFT OUR APPROACH HOW TACKLE
"What are fraud, bribery and theft?",FRAUD BRIBERY THEFT WHAT
"Fraud, bribery and theft policy (86 KB)",FRAUD BRIBERY THEFT POLICY EIGHTY SIX FS:KB
What do I do if I am a Staffordshire County Council employee?,I WORK WHERE PLACE-POINT-RIGHT STAFFORDSHIRE COUNTY COUNCIL ME DO WHAT?
How do I report fraud?,FRAUD REPORT ME HOW?
Leave a message on the integrity reporting hotline* / email service,MESSAGE LEAVE HOW INTEGRITY REPORT HOTLINE OR EMAIL SERVICE
Money Laundering,MONEY LAUNDER
Corruption,CORRUPTION
"Whilst the Fraud Act (2006) (the ëActí) does not provide a single definition of fraud, it may be described as ëtheft with deceptioní",FRAUD ACT TWO ZERO ZERO SIX DEFINITION FRAUD' NOT THERE DESCRIBE THEFT NMF:CHEATDECEPTION POSSIBLE
